"name","versions","license"
"chalk","2.4.2,3.0.0,4.1.2,5.6.2","MIT"
"change-case","4.1.2,5.4.4","MIT"
"change-case-all","1.0.14,1.0.15,2.1.0","MIT"
"chardet","2.1.1","MIT"
"chokidar","4.0.3","MIT"
"ci-info","4.4.0","MIT"
"cli-cursor","3.1.0,5.0.0","MIT"
"cli-spinners","2.9.2","MIT"
"client-only","0.0.1","MIT"
"clone","1.0.4","MIT"
"color-convert","1.9.3,2.0.1","MIT"
"color-name","1.1.3,1.1.4","MIT"
"colorette","2.0.19","MIT"
"commander","9.5.0","MIT"
"common-tags","1.8.0,1.8.2","MIT"
"compress-commons","6.0.2","MIT"
"concat-map","0.0.1","MIT"
"constant-case","3.0.4","MIT"
"convert-source-map","2.0.0","MIT"
"core-js","2.6.12,3.49.0","MIT"
"core-util-is","1.0.3","MIT"
"crc32-stream","6.0.0","MIT"
"cross-fetch","3.2.0","MIT"
"cross-inspect","1.0.1","MIT"
"cross-spawn","7.0.6","MIT"
"css-tree","3.2.1","MIT"
"css.escape","1.5.1","MIT"
"csstype","3.2.3","MIT"
"csv-parse","5.6.0","MIT"
"data-uri-to-buffer","4.0.1","MIT"
"data-urls","7.0.0","MIT"
"data-view-buffer","1.0.2","MIT"
"data-view-byte-length","1.0.2","MIT"
"data-view-byte-offset","1.0.1","MIT"
"debounce-promise","3.1.2","MIT"
"debug","3.2.7,4.3.4,4.4.3","MIT"
"decamelize","1.2.0","MIT"
"decimal.js","10.6.0","MIT"
"deep-is","0.1.4","MIT"
"default-browser","5.5.0","MIT"
"default-browser-id","5.0.1","MIT"
"defaults","1.0.4","MIT"
"define-data-property","1.1.4","MIT"
"define-lazy-prop","3.0.0","MIT"
"define-properties","1.2.1","MIT"
"dependency-graph","0.11.0,1.0.0","MIT"
"dequal","2.0.3","MIT"
"detect-indent","4.0.0","MIT"
"dir-glob","3.0.1","MIT"
"dom-accessibility-api","0.5.16,0.6.3","MIT"
"dot-case","3.0.4","MIT"
"dunder-proto","1.0.1","MIT"
"eastasianwidth","0.2.0","MIT"
"emoji-regex","8.0.0,9.2.2,10.6.0","MIT"
"enhanced-resolve","5.21.3","MIT"
"envinfo","7.21.0","MIT"
"es-abstract","1.24.2","MIT"
"es-define-property","1.0.1","MIT"
"es-errors","1.3.0","MIT"
"es-iterator-helpers","1.3.2","MIT"
"es-module-lexer","2.1.0","MIT"
"es-object-atoms","1.1.1","MIT"
"es-set-tostringtag","2.1.0","MIT"
"es-shim-unscopables","1.1.0","MIT"
"es-to-primitive","1.3.0","MIT"
"esbuild","0.25.12,0.28.0","MIT"
"escalade","3.2.0","MIT"
"escape-string-regexp","1.0.5,4.0.0","MIT"
"eslint","9.39.2","MIT"
"eslint-config-next","16.2.6","MIT"
"eslint-config-prettier","10.1.8","MIT"
"eslint-import-resolver-node","0.3.10","MIT"
"eslint-module-utils","2.12.1","MIT"
"eslint-plugin-import","2.32.0","MIT"
"eslint-plugin-jsx-a11y","6.10.2","MIT"
"eslint-plugin-react","7.37.5","MIT"
"eslint-plugin-react-hooks","7.1.1","MIT"
"esm","3.2.25","MIT"
"estree-walker","3.0.3","MIT"
"event-target-shim","5.0.1","MIT"
"events","3.3.0","MIT"
"execa","9.6.1","MIT"
"fast-check","4.8.0","MIT"
"fast-deep-equal","3.1.3","MIT"
"fast-fifo","1.3.2","MIT"
"fast-glob","3.3.1,3.3.3","MIT"
"fast-json-stable-stringify","2.1.0","MIT"
"fast-levenshtein","2.0.6","MIT"
"fast-xml-builder","1.2.0","MIT"
"fast-xml-parser","5.7.3","MIT"
"fbjs","3.0.5","MIT"
"fbjs-css-vars","1.0.2","MIT"
"fdir","6.5.0","MIT"
"fetch-blob","3.2.0","MIT"
"figures","6.1.0","MIT"
"file-entry-cache","8.0.0","MIT"
"fill-range","7.1.1","MIT"
"find-up","4.1.0,5.0.0","MIT"
"flat-cache","4.0.1","MIT"
"for-each","0.3.5","MIT"
"formdata-polyfill","4.0.10","MIT"
"fraction.js","5.3.4","MIT"
"fs-extra","8.1.0,9.1.0,11.1.1,11.3.5","MIT"
"function-bind","1.1.2","MIT"
"function.prototype.name","1.1.8","MIT"
"functions-have-names","1.2.3","MIT"
"generate-function","2.3.1","MIT"
"gensync","1.0.0-beta.2","MIT"
"get-east-asian-width","1.6.0","MIT"
"get-intrinsic","1.3.0","MIT"
"get-package-type","0.1.0","MIT"
"get-proto","1.0.1","MIT"
"get-stream","9.0.1","MIT"
"get-symbol-description","1.1.0","MIT"
"get-tsconfig","4.14.0","MIT"
"getopts","2.3.0","MIT"
"globals","14.0.0,16.4.0,17.6.0","MIT"
"globalthis","1.0.4","MIT"
"globby","11.1.0","MIT"
"gopd","1.2.0","MIT"
"graphql","15.8.0,15.10.2","MIT"
"graphql-tag","2.12.6","MIT"
"handlebars","4.7.7","MIT"
"has-bigints","1.1.0","MIT"
"has-flag","3.0.0,4.0.0","MIT"
"has-property-descriptors","1.0.2","MIT"
"has-proto","1.2.0","MIT"
"has-symbols","1.1.0","MIT"
"has-tostringtag","1.0.2","MIT"
"hasown","2.0.3","MIT"
"header-case","2.0.4","MIT"
"hermes-estree","0.25.1","MIT"
"hermes-parser","0.25.1","MIT"
"hjson","3.2.2","MIT"
"hono","4.12.23","MIT"
"html-encoding-sniffer","6.0.0","MIT"
"html-escaper","2.0.2","MIT"
"iconv-lite","0.6.3,0.7.2","MIT"
"ignore","5.3.2,7.0.5","MIT"
"immutable","5.1.6","MIT"
"import-fresh","3.3.1","MIT"
"import-from","4.0.0","MIT"
"imurmurhash","0.1.4","MIT"
"indent-string","4.0.0","MIT"
"inflected","2.1.0","MIT"
"internal-slot","1.1.0","MIT"
"interpret","2.2.0","MIT"
"invariant","2.2.4","MIT"
"is-absolute","1.0.0","MIT"
"is-array-buffer","3.0.5","MIT"
"is-async-function","2.1.1","MIT"
"is-bigint","1.1.0","MIT"
"is-boolean-object","1.2.2","MIT"
"is-buffer","1.1.6","MIT"
"is-bun-module","2.0.0","MIT"
"is-callable","1.2.7","MIT"
"is-ci","4.1.0","MIT"
"is-core-module","2.16.2","MIT"
"is-data-view","1.0.2","MIT"
"is-date-object","1.1.0","MIT"
"is-docker","3.0.0","MIT"
"is-extglob","2.1.1","MIT"
"is-finalizationregistry","1.1.1","MIT"
"is-finite","1.1.0","MIT"
"is-fullwidth-code-point","3.0.0","MIT"
"is-generator-function","1.1.0","MIT"
"is-glob","4.0.3","MIT"
"is-inside-container","1.0.0","MIT"
"is-interactive","1.0.0,2.0.0","MIT"
"is-lower-case","2.0.2","MIT"
"is-map","2.0.3","MIT"
"is-negative-zero","2.0.3","MIT"
"is-number","7.0.0","MIT"
"is-number-object","1.1.1","MIT"
"is-plain-obj","4.1.0","MIT"
"is-potential-custom-element-name","1.0.1","MIT"
"is-property","1.0.2","MIT"
"is-regex","1.2.1","MIT"
"is-relative","1.0.0","MIT"
"is-set","2.0.3","MIT"
"is-shared-array-buffer","1.0.4","MIT"
"is-stream","2.0.1,4.0.1","MIT"
"is-string","1.1.1","MIT"
"is-symbol","1.1.1","MIT"
"is-typed-array","1.1.15","MIT"
"is-unc-path","1.0.0","MIT"
"is-unicode-supported","1.3.0,2.1.0","MIT"
"is-upper-case","2.0.2","MIT"
"is-weakmap","2.0.2","MIT"
"is-weakref","1.1.1","MIT"
"is-weakset","2.0.4","MIT"
"is-windows","1.0.2","MIT"
"is-wsl","3.1.1","MIT"
"isarray","1.0.0,2.0.5","MIT"
"iterator.prototype","1.1.5","MIT"
"jiti","2.7.0","MIT"
"js-tokens","4.0.0,10.0.0","MIT"
"js-yaml","4.1.1","MIT"
"jsdom","29.1.1","MIT"
"jsesc","1.3.0,2.5.2,3.1.0","MIT"
"json-buffer","3.0.1","MIT"
"json-schema-traverse","0.4.1,1.0.0","MIT"
"json-stable-stringify-without-jsonify","1.0.1","MIT"
"json5","1.0.2,2.2.3","MIT"
"jsonfile","4.0.0,6.2.1","MIT"
"jsonschema","1.5.0","MIT"
"jsx-ast-utils","3.3.5","MIT"
"keyv","4.5.4","MIT"
"kleur","4.1.5","MIT"
"knex","2.4.2","MIT"
"language-tags","1.0.9","MIT"
"lazystream","1.0.1","MIT"
"levn","0.4.1","MIT"
"locate-path","5.0.0,6.0.0","MIT"
"lodash","4.17.23,4.18.1","MIT"
"lodash-es","4.18.1","MIT"
"lodash.merge","4.6.2","MIT"
"lodash.mergewith","4.6.2","MIT"
"lodash.snakecase","4.1.1","MIT"
"lodash.truncate","4.4.2","MIT"
"log-symbols","3.0.0,6.0.0","MIT"
"loose-envify","1.4.0","MIT"
"lower-case","2.0.2","MIT"
"lower-case-first","2.0.2","MIT"
"lru.min","1.1.4","MIT"
"lz-string","1.5.0","MIT"
"magic-string","0.30.21","MIT"
"magicast","0.5.3","MIT"
"make-dir","4.0.0","MIT"
"map-cache","0.2.2","MIT"
"math-intrinsics","1.1.0","MIT"
"merge2","1.4.1","MIT"
"micromatch","4.0.8","MIT"
"mime","2.6.0","MIT"
"mimic-fn","2.1.0","MIT"
"mimic-function","5.0.1","MIT"
"min-indent","1.0.1","MIT"
"minimist","1.2.8","MIT"
"mnemonist","0.38.3","MIT"
"ms","2.1.2,2.1.3","MIT"
"mysql2","3.9.9","MIT"
"named-placeholders","1.1.6","MIT"
"nanoclone","0.2.1","MIT"
"nanoid","3.3.12","MIT"
"napi-postinstall","0.3.4","MIT"
"natural-compare","1.4.0","MIT"
"neo-async","2.6.2","MIT"
"next","16.2.6","MIT"
"no-case","3.0.4","MIT"
"node-addon-api","7.1.1","MIT"
"node-domexception","1.0.0","MIT"
"node-exports-info","1.6.0","MIT"
"node-fetch","2.7.0,3.3.2","MIT"
"node-int64","0.4.0","MIT"
"node-releases","2.0.37","MIT"
"normalize-path","3.0.0","MIT"
"npm-run-path","6.0.0","MIT"
"nullthrows","1.1.1","MIT"
"object-assign","4.1.1","MIT"
"object-hash","3.0.0","MIT"
"object-inspect","1.13.4","MIT"
"object-keys","1.1.1","MIT"
"object.assign","4.1.7","MIT"
"object.entries","1.1.9","MIT"
"object.fromentries","2.0.8","MIT"
"object.groupby","1.0.3","MIT"
"object.values","1.2.1","MIT"
"obliterator","1.6.1","MIT"
"obug","2.1.1","MIT"
"onetime","5.1.2,7.0.0","MIT"
"open","10.2.0","MIT"
"optionator","0.9.4","MIT"
"ora","4.1.1,8.2.0","MIT"
"own-keys","1.0.1","MIT"
"p-limit","2.3.0,3.1.0","MIT"
"p-locate","4.1.0,5.0.0","MIT"
"p-try","2.2.0","MIT"
"param-case","3.0.4","MIT"
"parent-module","1.0.1","MIT"
"parse-filepath","1.0.2","MIT"
"parse-gitignore","2.0.0","MIT"
"parse-ms","4.0.0","MIT"
"parse5","8.0.1","MIT"
"pascal-case","3.1.2","MIT"
"path-case","3.0.4","MIT"
"path-exists","4.0.0","MIT"
"path-expression-matcher","1.5.0","MIT"
"path-is-absolute","1.0.1","MIT"
"path-key","3.1.1,4.0.0","MIT"
"path-parse","1.0.7","MIT"
"path-root","0.1.1","MIT"
"path-root-regex","0.1.2","MIT"
"path-type","4.0.0","MIT"
"pathe","2.0.3","MIT"
"pend","1.2.0","MIT"
"pg","8.11.6","MIT"
"pg-cloudflare","1.4.0","MIT"
"pg-connection-string","2.5.0,2.13.0","MIT"
"pg-pool","3.14.0","MIT"
"pg-protocol","1.14.0","MIT"
"pg-types","2.2.0","MIT"
"pgpass","1.0.5","MIT"
"picomatch","2.3.2,4.0.4","MIT"
"pluralize","8.0.0","MIT"
"possible-typed-array-names","1.1.0","MIT"
"postcss","8.4.31,8.5.15","MIT"
"postcss-value-parser","4.2.0","MIT"
"postgres-array","2.0.0","MIT"
"postgres-bytea","1.0.1","MIT"
"postgres-date","1.0.7","MIT"
"postgres-interval","1.2.0","MIT"
"prelude-ls","1.2.1","MIT"
"prettier","1.19.1,2.3.2,3.8.3","MIT"
"pretty-format","27.5.1","MIT"
"pretty-ms","9.3.0","MIT"
"process","0.11.10","MIT"
"process-nextick-args","2.0.1","MIT"
"promise","7.3.1","MIT"
"prop-types","15.8.1","MIT"
"property-expr","2.0.6","MIT"
"punycode","2.3.1","MIT"
"pure-rand","8.4.0","MIT"
"queue-microtask","1.2.3","MIT"
"react","19.2.6","MIT"
"react-dom","19.2.6","MIT"
"react-is","16.13.1,17.0.2","MIT"
"readable-stream","2.3.8,3.6.2,4.7.0","MIT"
"readdirp","4.1.2","MIT"
"rechoir","0.8.0","MIT"
"redent","3.0.0","MIT"
"reflect.getprototypeof","1.0.10","MIT"
"regenerator-runtime","0.11.1","MIT"
"regexp.prototype.flags","1.5.4","MIT"
"relay-runtime","12.0.0","MIT"
"repeating","2.0.1","MIT"
"require-directory","2.1.1","MIT"
"require-from-string","2.0.2","MIT"
"resolve","1.22.12,2.0.0-next.6","MIT"
"resolve-from","4.0.0,5.0.0","MIT"
"resolve-pkg-maps","1.0.0","MIT"
"restore-cursor","3.1.0,5.1.0","MIT"
"reusify","1.1.0","MIT"
"rolldown","1.0.2","MIT"
"run-applescript","7.1.0","MIT"
"run-parallel","1.2.0","MIT"
"safe-array-concat","1.1.4","MIT"
"safe-buffer","5.1.2,5.2.1","MIT"
"safe-push-apply","1.0.0","MIT"
"safe-regex-test","1.1.0","MIT"
"safer-buffer","2.1.2","MIT"
"scheduler","0.27.0","MIT"
"sentence-case","3.0.4","MIT"
"seq-queue","0.0.5","MIT"
"set-function-length","1.2.2","MIT"
"set-function-name","2.0.2","MIT"
"set-proto","1.0.0","MIT"
"setimmediate","1.0.5","MIT"
"shebang-command","2.0.0","MIT"
"shebang-regex","3.0.0","MIT"
"side-channel","1.1.0","MIT"
"side-channel-list","1.0.0","MIT"
"side-channel-map","1.0.1","MIT"
"side-channel-weakmap","1.0.2","MIT"
"slash","3.0.0","MIT"
"slice-ansi","4.0.0","MIT"
"snake-case","3.0.4","MIT"
"source-map-support","0.5.21","MIT"
"sponge-case","1.0.1,2.0.3","MIT"
"sqlstring","2.3.3","MIT"
"stable-hash","0.0.5","MIT"
"stackback","0.0.2","MIT"
"std-env","4.1.0","MIT"
"stdin-discarder","0.2.2","MIT"
"stop-iteration-iterator","1.1.0","MIT"
"stream-browserify","3.0.0","MIT"
"streamx","2.26.0","MIT"
"string_decoder","1.1.1,1.3.0","MIT"
"string-width","4.2.3,5.1.2,7.2.0","MIT"
"string.prototype.includes","2.0.1","MIT"
"string.prototype.matchall","4.0.12","MIT"
"string.prototype.repeat","1.0.0","MIT"
"string.prototype.trim","1.2.10","MIT"
"string.prototype.trimend","1.0.9","MIT"
"string.prototype.trimstart","1.0.8","MIT"
"strip-ansi","6.0.1,7.2.0","MIT"
"strip-bom","3.0.0","MIT"
"strip-final-newline","4.0.0","MIT"
"strip-indent","3.0.0","MIT"
"strip-json-comments","3.1.1","MIT"
"strnum","2.3.0","MIT"
"styled-jsx","5.1.6","MIT"
"supports-color","5.5.0,7.2.0","MIT"
"supports-preserve-symlinks-flag","1.0.0","MIT"
"swap-case","2.0.2,3.0.3","MIT"
"symbol-tree","3.2.4","MIT"
"sync-fetch","0.6.0","MIT"
"tailwindcss","4.3.0","MIT"
"tapable","2.3.3","MIT"
"tar-stream","3.2.0","MIT"
"tarn","3.0.2","MIT"
"teex","1.0.1","MIT"
"tildify","2.0.0","MIT"
"timeout-signal","2.0.0","MIT"
"tinybench","2.9.0","MIT"
"tinyexec","1.1.2","MIT"
"tinyglobby","0.2.16","MIT"
"tinyrainbow","3.1.0","MIT"
"title-case","3.0.3","MIT"
"tldts","7.0.29","MIT"
"tldts-core","7.0.29","MIT"
"to-fast-properties","1.0.3,2.0.0","MIT"
"to-regex-range","5.0.1","MIT"
"toposort","2.0.2","MIT"
"tr46","0.0.3,6.0.0","MIT"
"trim-right","1.0.1","MIT"
"ts-api-utils","2.5.0","MIT"
"ts-dedent","1.2.0,2.2.0","MIT"
"tsconfig-paths","3.15.0","MIT"
"tsx","4.19.4,4.22.3","MIT"
"type-check","0.4.0","MIT"
"typed-array-buffer","1.0.3","MIT"
"typed-array-byte-length","1.0.3","MIT"
"typed-array-byte-offset","1.0.4","MIT"
"typed-array-length","1.0.7","MIT"
"typescript-eslint","8.59.4","MIT"
"ua-parser-js","1.0.41","MIT"
"unbox-primitive","1.1.0","MIT"
"unc-path-regex","0.1.2","MIT"
"undici","7.25.0,8.3.0","MIT"
"undici-types","7.24.6","MIT"
"unicorn-magic","0.3.0","MIT"
"universalify","0.1.2,2.0.1","MIT"
"unrs-resolver","1.11.1","MIT"
"update-browserslist-db","1.2.3","MIT"
"upper-case","2.0.2","MIT"
"upper-case-first","2.0.2","MIT"
"urlpattern-polyfill","10.1.0","MIT"
"util-deprecate","1.0.2","MIT"
"uuid","11.1.1","MIT"
"value-or-promise","1.0.12","MIT"
"vite","8.0.14","MIT"
"vitest","4.1.7","MIT"
"w3c-xmlserializer","5.0.0","MIT"
"wcwidth","1.0.1","MIT"
