"name","version","license"
"foreign-types-shared","0.3.1","MIT/Apache-2.0"
"form_urlencoded","1.2.1","MIT OR Apache-2.0"
"futures-channel","0.3.31","MIT OR Apache-2.0"
"futures-core","0.3.31","MIT OR Apache-2.0"
"futures-io","0.3.31","MIT OR Apache-2.0"
"futures-macro","0.3.31","MIT OR Apache-2.0"
"futures-sink","0.3.31","MIT OR Apache-2.0"
"futures-task","0.3.31","MIT OR Apache-2.0"
"futures-util","0.3.31","MIT OR Apache-2.0"
"generic-array","0.14.7","MIT"
"getrandom","0.2.16","MIT OR Apache-2.0"
"getrandom","0.3.3","MIT OR Apache-2.0"
"gimli","0.31.1","MIT OR Apache-2.0"
"guest","0.1.0","Apache-2.0"
"guest-minimal","0.1.0","Apache-2.0"
"hashbrown","0.12.3","MIT OR Apache-2.0"
"hashbrown","0.15.4","MIT OR Apache-2.0"
"hashlink","0.10.0","MIT OR Apache-2.0"
"heck","0.5.0","MIT OR Apache-2.0"
"hex","0.4.3","MIT OR Apache-2.0"
"hex-literal","0.4.1","MIT OR Apache-2.0"
"host","0.1.0","Apache-2.0"
"http","1.3.1","MIT OR Apache-2.0"
"http-body","1.0.1","MIT"
"http-body-util","0.1.3","MIT"
"httparse","1.10.1","MIT OR Apache-2.0"
"hyper","1.6.0","MIT"
"hyper-rustls","0.27.7","Apache-2.0 OR ISC OR MIT"
"hyper-util","0.1.16","MIT"
"iana-time-zone","0.1.63","MIT OR Apache-2.0"
"iana-time-zone-haiku","0.1.2","MIT OR Apache-2.0"
"icu_collections","2.0.0","Unicode-3.0"
"icu_locale_core","2.0.0","Unicode-3.0"
"icu_normalizer","2.0.0","Unicode-3.0"
"icu_normalizer_data","2.0.0","Unicode-3.0"
"icu_properties","2.0.1","Unicode-3.0"
"icu_properties_data","2.0.1","Unicode-3.0"
"icu_provider","2.0.0","Unicode-3.0"
"ident_case","1.0.1","MIT/Apache-2.0"
"idna","1.0.3","MIT OR Apache-2.0"
"idna_adapter","1.2.1","Apache-2.0 OR MIT"
"include_bytes_aligned","0.1.4","MIT"
"indexmap","1.9.3","Apache-2.0 OR MIT"
"indexmap","2.10.0","Apache-2.0 OR MIT"
"io-uring","0.7.9","MIT OR Apache-2.0"
"ipnet","2.11.0","MIT OR Apache-2.0"
"iri-string","0.7.8","MIT OR Apache-2.0"
"itertools","0.13.0","MIT OR Apache-2.0"
"itertools","0.14.0","MIT OR Apache-2.0"
"itoa","1.0.15","MIT OR Apache-2.0"
"js-sys","0.3.77","MIT OR Apache-2.0"
"keccak","0.1.5","Apache-2.0 OR MIT"
"lazy-regex","3.4.1","MIT"
"lazy-regex-proc_macros","3.4.1","MIT"
"lazy_static","1.5.0","MIT OR Apache-2.0"
"libc","0.2.174","MIT OR Apache-2.0"
"libm","0.2.15","MIT"
"libredox","0.1.9","MIT"
"linux-raw-sys","0.9.4","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"litemap","0.8.0","Unicode-3.0"
"log","0.4.27","MIT OR Apache-2.0"
"lru-slab","0.1.2","MIT OR Apache-2.0 OR Zlib"
"malloc_buf","0.0.6","MIT"
"maybe-async","0.2.10","MIT"
"memchr","2.7.5","Unlicense OR MIT"
"merlin","3.0.0","MIT"
"metal","0.29.0","MIT OR Apache-2.0"
"methods","0.1.0","Apache-2.0"
"methods-minimal","0.1.0","Apache-2.0"
"miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0"
"mio","1.0.4","MIT"
"no_std_strings","0.1.3","MIT"
"num-bigint","0.4.6","MIT OR Apache-2.0"
"num-bigint-dig","0.8.6","MIT/Apache-2.0"
"num-conv","0.1.0","MIT OR Apache-2.0"
"num-integer","0.1.46","MIT OR Apache-2.0"
"num-iter","0.1.45","MIT OR Apache-2.0"
"num-traits","0.2.19","MIT OR Apache-2.0"
"num_enum","0.7.4","BSD-3-Clause OR MIT OR Apache-2.0"
"num_enum_derive","0.7.4","BSD-3-Clause OR MIT OR Apache-2.0"
"objc","0.2.7","MIT"
"object","0.36.7","Apache-2.0 OR MIT"
"once_cell","1.21.3","MIT OR Apache-2.0"
"option-ext","0.2.0","MPL-2.0"
"paste","1.0.15","MIT OR Apache-2.0"
"pem-rfc7468","0.7.0","Apache-2.0 OR MIT"
"percent-encoding","2.3.1","MIT OR Apache-2.0"
"pin-project-lite","0.2.16","Apache-2.0 OR MIT"
"pin-utils","0.1.0","MIT OR Apache-2.0"
"pkcs1","0.7.5","Apache-2.0 OR MIT"
"pkcs8","0.10.2","Apache-2.0 OR MIT"
"postcard","1.1.3","MIT OR Apache-2.0"
"potential_utf","0.1.2","Unicode-3.0"
"powerfmt","0.2.0","MIT OR Apache-2.0"
"ppv-lite86","0.2.21","MIT OR Apache-2.0"
"proc-macro-crate","3.3.0","MIT OR Apache-2.0"
"proc-macro2","1.0.95","MIT OR Apache-2.0"
"proc-macro2-diagnostics","0.10.1","MIT/Apache-2.0"
"proptest","1.8.0","MIT OR Apache-2.0"
"prost","0.13.5","Apache-2.0"
"prost-derive","0.13.5","Apache-2.0"
"quick-error","1.2.3","MIT/Apache-2.0"
"quinn","0.11.8","MIT OR Apache-2.0"
"quinn-proto","0.11.12","MIT OR Apache-2.0"
"quinn-udp","0.5.13","MIT OR Apache-2.0"
"quote","1.0.40","MIT OR Apache-2.0"
"r-efi","5.3.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later"
"rand","0.8.5","MIT OR Apache-2.0"
"rand","0.9.2","MIT OR Apache-2.0"
"rand_chacha","0.3.1","MIT OR Apache-2.0"
"rand_chacha","0.9.0","MIT OR Apache-2.0"
"rand_core","0.6.4","MIT OR Apache-2.0"
"rand_core","0.9.3","MIT OR Apache-2.0"
"rand_xorshift","0.4.0","MIT OR Apache-2.0"
"redox_users","0.5.2","MIT"
"ref-cast","1.0.25","MIT OR Apache-2.0"
"ref-cast-impl","1.0.25","MIT OR Apache-2.0"
"regex","1.11.1","MIT OR Apache-2.0"
"regex-automata","0.4.9","MIT OR Apache-2.0"
"regex-syntax","0.8.5","MIT OR Apache-2.0"
"reqwest","0.12.22","MIT OR Apache-2.0"
"ring","0.17.14","Apache-2.0 AND ISC"
"risc0-binfmt","3.0.4","Apache-2.0"
"risc0-build","3.0.5","Apache-2.0"
"risc0-circuit-keccak","4.0.5","Apache-2.0"
"risc0-circuit-recursion","4.0.4","Apache-2.0"
"risc0-circuit-rv32im","4.0.4","Apache-2.0"
"risc0-core","3.0.1","Apache-2.0"
"risc0-groth16","3.0.4","Apache-2.0"
"risc0-zkos-v1compat","2.2.2","Apache-2.0"
"risc0-zkp","3.0.4","Apache-2.0"
"risc0-zkvm","3.0.5","Apache-2.0"
"risc0-zkvm-platform","2.2.2","Apache-2.0"
"rrs-lib","0.1.0","Apache-2.0"
"rsa","0.9.8","MIT OR Apache-2.0"
"ruint","1.17.0","MIT"
"ruint-macro","1.2.1","MIT"
"rustc-demangle","0.1.26","MIT/Apache-2.0"
"rustc-hash","2.1.1","Apache-2.0 OR MIT"
"rustix","1.0.8","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"rustls","0.23.31","Apache-2.0 OR ISC OR MIT"
"rustls-pki-types","1.12.0","MIT OR Apache-2.0"
"rustls-webpki","0.103.4","ISC"
"rustversion","1.0.21","MIT OR Apache-2.0"
"rusty-fork","0.3.1","MIT/Apache-2.0"
"ryu","1.0.20","Apache-2.0 OR BSL-1.0"
"rzup","0.5.1","Apache-2.0"
"schemars","0.9.0","MIT"
"schemars","1.0.4","MIT"
"semver","1.0.26","MIT OR Apache-2.0"
"serde","1.0.228","MIT OR Apache-2.0"
"serde_core","1.0.228","MIT OR Apache-2.0"
"serde_derive","1.0.228","MIT OR Apache-2.0"
"serde_json","1.0.142","MIT OR Apache-2.0"
"serde_spanned","0.6.9","MIT OR Apache-2.0"
"serde_urlencoded","0.7.1","MIT/Apache-2.0"
"serde_with","3.14.1","MIT OR Apache-2.0"
"serde_with_macros","3.14.1","MIT OR Apache-2.0"
"sha2","0.10.9","MIT OR Apache-2.0"
"shlex","1.3.0","MIT OR Apache-2.0"
"signature","2.2.0","Apache-2.0 OR MIT"
"slab","0.4.10","MIT"
"smallvec","1.15.1","MIT OR Apache-2.0"
"socket2","0.5.10","MIT OR Apache-2.0"
"socket2","0.6.0","MIT OR Apache-2.0"
"spin","0.9.8","MIT"
"spki","0.7.3","Apache-2.0 OR MIT"
"stability","0.2.1","MIT"
"stable_deref_trait","1.2.0","MIT/Apache-2.0"
"strsim","0.11.1","MIT"
"strum","0.27.2","MIT"
"strum_macros","0.27.2","MIT"
"subtle","2.6.1","BSD-3-Clause"
"syn","1.0.109","MIT OR Apache-2.0"
"syn","2.0.104","MIT OR Apache-2.0"
"sync_wrapper","1.0.2","Apache-2.0"
"synstructure","0.13.2","MIT"
"tempfile","3.20.0","MIT OR Apache-2.0"
"thiserror","2.0.12","MIT OR Apache-2.0"
"thiserror-impl","2.0.12","MIT OR Apache-2.0"
"time","0.3.44","MIT OR Apache-2.0"
"time-core","0.1.6","MIT OR Apache-2.0"
"time-macros","0.2.24","MIT OR Apache-2.0"
"tinystr","0.8.1","Unicode-3.0"
"tinyvec","1.9.0","Zlib OR Apache-2.0 OR MIT"
"tinyvec_macros","0.1.1","MIT OR Apache-2.0 OR Zlib"
"tokio","1.47.1","MIT"
"tokio-rustls","0.26.2","MIT OR Apache-2.0"
"tokio-util","0.7.15","MIT"
"toml","0.8.23","MIT OR Apache-2.0"
"toml_datetime","0.6.11","MIT OR Apache-2.0"
"toml_edit","0.22.27","MIT OR Apache-2.0"
"toml_write","0.1.2","MIT OR Apache-2.0"
"tower","0.5.2","MIT"
"tower-http","0.6.6","MIT"
"tower-layer","0.3.3","MIT"
"tower-service","0.3.3","MIT"
"tracing","0.1.41","MIT"
"tracing-attributes","0.1.30","MIT"
"tracing-core","0.1.34","MIT"
"tracing-subscriber","0.2.25","MIT"
"try-lock","0.2.5","MIT"
"typenum","1.18.0","MIT OR Apache-2.0"
"unarray","0.1.4","MIT OR Apache-2.0"
"unicode-ident","1.0.18","(MIT OR Apache-2.0) AND Unicode-3.0"
"unicode-xid","0.2.6","MIT OR Apache-2.0"
"untrusted","0.9.0","ISC"
"url","2.5.4","MIT OR Apache-2.0"
"utf8_iter","1.0.4","Apache-2.0 OR MIT"
"valuable","0.1.1","MIT"
"version_check","0.9.5","MIT/Apache-2.0"
"wait-timeout","0.2.1","MIT/Apache-2.0"
"want","0.3.1","MIT"
"wasi","0.11.1+wasi-snapshot-preview1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasi","0.14.2+wasi-0.2.4","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasm-bindgen","0.2.100","MIT OR Apache-2.0"
"wasm-bindgen-backend","0.2.100","MIT OR Apache-2.0"
"wasm-bindgen-futures","0.4.50","MIT OR Apache-2.0"
"wasm-bindgen-macro","0.2.100","MIT OR Apache-2.0"
"wasm-bindgen-macro-support","0.2.100","MIT OR Apache-2.0"
"wasm-bindgen-shared","0.2.100","MIT OR Apache-2.0"
"wasm-streams","0.4.2","MIT OR Apache-2.0"
"web-sys","0.3.77","MIT OR Apache-2.0"
"web-time","1.1.0","MIT OR Apache-2.0"
"webpki-roots","1.0.2","CDLA-Permissive-2.0"
"windows-core","0.61.2","MIT OR Apache-2.0"
"windows-implement","0.60.0","MIT OR Apache-2.0"
"windows-interface","0.59.1","MIT OR Apache-2.0"
"windows-link","0.1.3","MIT OR Apache-2.0"
"windows-result","0.3.4","MIT OR Apache-2.0"
"windows-strings","0.4.2","MIT OR Apache-2.0"
"windows-sys","0.52.0","MIT OR Apache-2.0"
"windows-sys","0.59.0","MIT OR Apache-2.0"
"windows-sys","0.60.2","MIT OR Apache-2.0"
"windows-targets","0.52.6","MIT OR Apache-2.0"
"windows-targets","0.53.3","MIT OR Apache-2.0"
"windows_aarch64_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_aarch64_gnullvm","0.53.0","MIT OR Apache-2.0"
"windows_aarch64_msvc","0.52.6","MIT OR Apache-2.0"
"windows_aarch64_msvc","0.53.0","MIT OR Apache-2.0"
"windows_i686_gnu","0.52.6","MIT OR Apache-2.0"
"windows_i686_gnu","0.53.0","MIT OR Apache-2.0"
"windows_i686_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_i686_gnullvm","0.53.0","MIT OR Apache-2.0"
"windows_i686_msvc","0.52.6","MIT OR Apache-2.0"
"windows_i686_msvc","0.53.0","MIT OR Apache-2.0"
"windows_x86_64_gnu","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_gnu","0.53.0","MIT OR Apache-2.0"
"windows_x86_64_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_gnullvm","0.53.0","MIT OR Apache-2.0"
"windows_x86_64_msvc","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_msvc","0.53.0","MIT OR Apache-2.0"
"winnow","0.7.12","MIT"
"wit-bindgen-rt","0.39.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"writeable","0.6.1","Unicode-3.0"
"yaml-rust2","0.10.4","MIT OR Apache-2.0"
"yansi","1.0.1","MIT OR Apache-2.0"
"yoke","0.8.0","Unicode-3.0"
"yoke-derive","0.8.0","Unicode-3.0"
"zerocopy","0.8.26","BSD-2-Clause OR Apache-2.0 OR MIT"
"zerocopy-derive","0.8.26","BSD-2-Clause OR Apache-2.0 OR MIT"
"zerofrom","0.1.6","Unicode-3.0"
"zerofrom-derive","0.1.6","Unicode-3.0"
"zeroize","1.8.1","Apache-2.0 OR MIT"
"zeroize_derive","1.4.2","Apache-2.0 OR MIT"
"zerotrie","0.2.2","Unicode-3.0"
"zerovec","0.11.2","Unicode-3.0"
"zerovec-derive","0.11.1","Unicode-3.0"
